epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,340.441,1.2499,1.29541,1.44719,0.94086,0.88442,0.94256,0.81456,0.79737,0.66874,1.0549,0.000554359,0.000554359,0.000554359
2,636.805,1.04379,1.01377,1.28708,0.92652,0.88669,0.94736,0.82779,0.77604,0.64846,1.04455,0.00100013,0.00100013,0.00100013
3,931.087,1.00894,0.96701,1.25698,0.9506,0.8927,0.95699,0.83463,0.76087,0.61122,1.04119,0.00133589,0.00133589,0.00133589
4,1224.59,0.98719,0.93516,1.24648,0.93089,0.88713,0.94855,0.82554,0.72264,0.60781,1.00526,0.0011719,0.0011719,0.0011719
5,1519.2,0.95329,0.88197,1.22357,0.94678,0.90717,0.96329,0.85157,0.70832,0.56719,1.01207,0.00100687,0.00100687,0.00100687
6,1812.65,0.92944,0.83666,1.20986,0.93419,0.91492,0.9618,0.86294,0.70861,0.54258,0.99369,0.000841835,0.000841835,0.000841835
7,2103.79,0.88816,0.79206,1.18144,0.95688,0.9195,0.9679,0.87588,0.65571,0.49785,0.97345,0.000676802,0.000676802,0.000676802
8,2390.33,0.86319,0.75406,1.1633,0.96185,0.91954,0.97214,0.87612,0.65649,0.48832,0.97536,0.000511769,0.000511769,0.000511769
9,2650.13,0.83984,0.72295,1.15643,0.96262,0.93024,0.97446,0.88803,0.62433,0.46201,0.9608,0.000346736,0.000346736,0.000346736
10,2909.94,0.8119,0.69231,1.13871,0.96593,0.93357,0.97768,0.89318,0.6139,0.44132,0.95658,0.000181703,0.000181703,0.000181703
